[0.162936,0.163156]
[0.163156,0.163675]
[0.163675,0.164110]
[0.164110,0.164421]
[0.164421,0.164554]
[0.164554,0.164723]
[0.164723,0.165034]
[0.165034,0.165760]
[0.165760,0.166161]
[0.166161,0.166525]
[0.166525,0.167634]
[0.167634,0.167842]
[0.167842,0.168329]
[0.168329,0.168385]
[0.168385,0.168662]
[0.168662,0.169267]
[0.169267,0.169763]
[0.169763,0.170164]
[0.170164,0.171062]
[0.171062,0.173814]
[0.173814,0.174445]
[0.174445,0.174720]
[0.174720,0.174930]
[0.174930,0.175226]
[0.175226,0.175430]
[0.175430,0.176411]
[0.176411,0.176816]
[0.176816,0.178976]
[0.178976,0.179270]
[0.179270,0.179610]
[0.179610,0.179685]
[0.179685,0.179732]
[0.179732,0.179924]
[0.179924,0.182700]
[0.182700,0.184412]
[0.184412,0.184578]
[0.184578,0.184586]
[0.184586,0.185166]
[0.185166,0.185489]
[0.185489,0.187713]
[0.187713,0.188344]
[0.188344,0.188374]
[0.188374,0.188735]
[0.188735,0.188750]
[0.188750,0.189255]
[0.189255,0.189277]
[0.189277,0.194057]
[0.194057,0.195732]
[0.195732,0.195773]
[0.195773,0.196270]
[0.196270,0.196992]
[0.196992,0.197329]
[0.197329,0.200824]
[0.200824,0.202750]
[0.202750,0.203168]
[0.203168,0.203435]
[0.203435,0.203447]
[0.203447,0.204794]
[0.204794,0.205226]
[0.205226,0.206084]
[0.206084,0.206341]
[0.206341,0.207557]
[0.207557,0.207567]
[0.207567,0.208584]
[0.208584,0.208771]
[0.208771,0.208819]
[0.208819,0.209534]
[0.209534,0.210135]
[0.210135,0.210339]
[0.210339,0.210556]
[0.210556,0.211201]
[0.211201,0.211816]
[0.211816,0.212018]
[0.212018,0.212286]
[0.212286,0.212989]
[0.212989,0.213540]
[0.213540,0.214578]
[0.214578,0.215836]
[0.215836,0.216199]
[0.216199,0.216497]
[0.216497,0.216777]
[0.216777,0.217998]
[0.217998,0.219944]
[0.219944,0.220841]
[0.220841,0.221457]
[0.221457,0.222872]
[0.222872,0.224024]
[0.224024,0.224135]
[0.224135,0.224761]
[0.224761,0.224796]
[0.224796,0.224814]
[0.224814,0.224991]
[0.224991,0.225037]
[0.225037,0.225519]
[0.225519,0.226263]
[0.226263,0.228466]
[0.228466,0.228544]
[0.228544,0.228734]
[0.228734,0.229161]
[0.229161,0.229722]
[0.229722,0.229831]
[0.229831,0.230052]
[0.230052,0.230356]
[0.230356,0.230904]
[0.230904,0.231141]
[0.231141,0.231512]
[0.231512,0.231690]
[0.231690,0.232831]
[0.232831,0.234161]
[0.234161,0.234412]
[0.234412,0.234491]
[0.234491,0.234867]
[0.234867,0.235284]
[0.235284,0.235304]
[0.235304,0.235482]
[0.235482,0.235768]
[0.235768,0.235870]
[0.235870,0.235941]
[0.235941,0.236294]
[0.236294,0.236457]
[0.236457,0.237252]
[0.237252,0.237324]
[0.237324,0.237366]
[0.237366,0.237976]
[0.237976,0.238120]
[0.238120,0.238318]
[0.238318,0.239156]
[0.239156,0.239257]
[0.239257,0.240037]
[0.240037,0.240263]
[0.240263,0.240302]
[0.240302,0.240626]
[0.240626,0.240756]
[0.240756,0.241234]
[0.241234,0.241291]
[0.241291,0.241404]
[0.241404,0.242295]
[0.242295,0.244015]
[0.244015,0.244876]
[0.244876,0.246294]
[0.246294,0.247448]
[0.247448,0.248396]
[0.248396,0.248581]
[0.248581,0.248639]
[0.248639,0.249150]
[0.249150,0.249695]
[0.249695,0.249999]
[0.249999,0.250118]
[0.250118,0.251089]
[0.251089,0.251720]
[0.251720,0.252047]
[0.252047,0.252428]
[0.252428,0.252586]
[0.252586,0.253415]
[0.253415,0.254180]
[0.254180,0.254291]
[0.254291,0.254341]
[0.254341,0.254543]
[0.254543,0.254897]
[0.254897,0.255086]
[0.255086,0.255278]
[0.255278,0.255917]
[0.255917,0.256935]
[0.256935,0.257245]
[0.257245,0.257252]
[0.257252,0.257649]
[0.257649,0.258342]
[0.258342,0.258551]
[0.258551,0.258576]
[0.258576,0.259169]
[0.259169,0.259464]
[0.259464,0.260294]
[0.260294,0.265010]
[0.265010,0.265374]
[0.265374,0.265509]
[0.265509,0.266880]
[0.266880,0.267128]
[0.267128,0.268087]
[0.268087,0.268205]
[0.268205,0.268441]
[0.268441,0.268485]
[0.268485,0.269722]
[0.269722,0.269724]
[0.269724,0.270676]
[0.270676,0.271171]
[0.271171,0.272665]
[0.272665,0.274170]
[0.274170,0.274586]
[0.274586,0.275344]
[0.275344,0.277968]
[0.277968,0.278066]
[0.278066,0.278171]
[0.278171,0.278290]
[0.278290,0.279062]
[0.279062,0.281080]
[0.281080,0.282122]
[0.282122,0.283587]
[0.283587,0.283980]
[0.283980,0.284035]
[0.284035,0.284249]
[0.284249,0.284622]
[0.284622,0.284978]
[0.284978,0.285237]
[0.285237,0.286071]
[0.286071,0.286351]
[0.286351,0.286586]
[0.286586,0.286654]
[0.286654,0.286996]
[0.286996,0.287048]
[0.287048,0.287393]
[0.287393,0.288058]
[0.288058,0.288197]
[0.288197,0.288665]
[0.288665,0.289534]
[0.289534,0.289703]
[0.289703,0.289717]
[0.289717,0.290337]
[0.290337,0.290783]
[0.290783,0.291396]
[0.291396,0.292063]
[0.292063,0.292334]
[0.292334,0.292682]
[0.292682,0.293732]
[0.293732,0.293955]
[0.293955,0.294643]
[0.294643,0.297529]
[0.297529,0.298118]
[0.298118,0.301019]
[0.301019,0.301066]
[0.301066,0.301190]
[0.301190,0.302571]
[0.302571,0.302940]
[0.302940,0.303242]
[0.303242,0.303957]
[0.303957,0.304105]
[0.304105,0.304311]
[0.304311,0.304946]
[0.304946,0.306562]
[0.306562,0.308131]
[0.308131,0.308395]
[0.308395,0.308652]
[0.308652,0.309209]
[0.309209,0.309318]
[0.309318,0.309478]
[0.309478,0.309577]
[0.309577,0.310455]
[0.310455,0.310634]
[0.310634,0.311802]
[0.311802,0.311970]
[0.311970,0.312135]
[0.312135,0.313005]
[0.313005,0.313619]
[0.313619,0.313871]
[0.313871,0.313953]
[0.313953,0.314294]
[0.314294,0.315679]
[0.315679,0.316025]
[0.316025,0.316247]
[0.316247,0.316461]
[0.316461,0.316601]
[0.316601,0.316995]
[0.316995,0.317072]
[0.317072,0.317831]
[0.317831,0.318131]
[0.318131,0.319314]
[0.319314,0.319357]
[0.319357,0.319498]
[0.319498,0.320364]
[0.320364,0.320432]
[0.320432,0.320606]
[0.320606,0.320658]
[0.320658,0.321587]
[0.321587,0.322021]
[0.322021,0.322134]
[0.322134,0.322205]
[0.322205,0.322687]
[0.322687,0.322702]
[0.322702,0.322872]
[0.322872,0.323054]
[0.323054,0.323195]
[0.323195,0.323788]
[0.323788,0.323855]
[0.323855,0.325145]
[0.325145,0.325674]
[0.325674,0.326678]
[0.326678,0.327381]
[0.327381,0.328128]
[0.328128,0.328387]
[0.328387,0.328508]
[0.328508,0.329115]
[0.329115,0.330165]
[0.330165,0.331889]
[0.331889,0.332366]
[0.332366,0.332518]
[0.332518,0.333068]
[0.333068,0.333118]
[0.333118,0.334447]
[0.334447,0.334509]
[0.334509,0.334589]
[0.334589,0.334624]
[0.334624,0.334813]
[0.334813,0.335067]
[0.335067,0.337470]
[0.337470,0.337962]
[0.337962,0.338165]
[0.338165,0.338395]
[0.338395,0.338732]
[0.338732,0.339327]
[0.339327,0.340189]
[0.340189,0.340344]
[0.340344,0.340393]
[0.340393,0.340525]
[0.340525,0.340712]
[0.340712,0.340836]
[0.340836,0.341118]
[0.341118,0.341558]
[0.341558,0.343002]
[0.343002,0.343241]
[0.343241,0.344159]
[0.344159,0.344373]
[0.344373,0.344963]
[0.344963,0.347430]
[0.347430,0.347476]
[0.347476,0.347854]
[0.347854,0.348371]
[0.348371,0.348412]
[0.348412,0.348646]
[0.348646,0.348928]
[0.348928,0.348971]
[0.348971,0.349661]
[0.349661,0.350590]
[0.350590,0.351340]
[0.351340,0.351950]
[0.351950,0.354497]
[0.354497,0.354705]
[0.354705,0.355882]
[0.355882,0.356001]
[0.356001,0.356255]
[0.356255,0.356566]
[0.356566,0.356929]
[0.356929,0.357255]
[0.357255,0.357320]
[0.357320,0.357917]
[0.357917,0.358407]
[0.358407,0.361086]
[0.361086,0.363424]
[0.363424,0.363425]
[0.363425,0.364665]
[0.364665,0.365029]
[0.365029,0.365129]
[0.365129,0.365735]
[0.365735,0.366897]
[0.366897,0.367670]
[0.367670,0.368430]
[0.368430,0.370076]
[0.370076,0.370335]
[0.370335,0.371188]
[0.371188,0.371196]
[0.371196,0.372854]
[0.372854,0.372950]
[0.372950,0.373900]
[0.373900,0.373986]
[0.373986,0.374710]
[0.374710,0.375578]
[0.375578,0.375857]
[0.375857,0.375969]
[0.375969,0.376758]
[0.376758,0.377019]
[0.377019,0.377049]
[0.377049,0.377161]
[0.377161,0.377651]
[0.377651,0.377687]
[0.377687,0.378135]
[0.378135,0.379570]
[0.379570,0.381182]
[0.381182,0.381252]
[0.381252,0.381450]
[0.381450,0.382399]
[0.382399,0.382562]
[0.382562,0.382665]
[0.382665,0.382776]
[0.382776,0.384114]
[0.384114,0.386175]
[0.386175,0.386804]
[0.386804,0.388947]
[0.388947,0.390287]
[0.390287,0.391140]
[0.391140,0.392476]
[0.392476,0.394500]
[0.394500,0.395254]
[0.395254,0.395950]
[0.395950,0.396816]
[0.396816,0.399261]
[0.399261,0.399688]
[0.399688,0.399832]
[0.399832,0.400476]
[0.400476,0.400739]
[0.400739,0.401942]
[0.401942,0.401993]
[0.401993,0.402373]
[0.402373,0.402421]
[0.402421,0.403620]
[0.403620,0.404434]
[0.404434,0.407001]
[0.407001,0.407420]
[0.407420,0.408662]
[0.408662,0.410260]
[0.410260,0.410384]
[0.410384,0.411094]
[0.411094,0.412430]
[0.412430,0.412763]
[0.412763,0.413834]
[0.413834,0.414571]
[0.414571,0.414743]
[0.414743,0.415923]
[0.415923,0.417999]
[0.417999,0.418015]
[0.418015,0.418016]
[0.418016,0.418565]
[0.418565,0.419927]
[0.419927,0.420032]
[0.420032,0.420422]
[0.420422,0.420558]
[0.420558,0.420625]
[0.420625,0.421980]
[0.421980,0.422008]
[0.422008,0.422077]
[0.422077,0.422671]
[0.422671,0.423065]
[0.423065,0.423269]
[0.423269,0.423619]
[0.423619,0.424096]
[0.424096,0.424733]
[0.424733,0.425494]
[0.425494,0.425774]
[0.425774,0.426143]
[0.426143,0.426681]
[0.426681,0.428009]
[0.428009,0.428742]
[0.428742,0.429053]
[0.429053,0.429153]
[0.429153,0.429218]
[0.429218,0.429929]
[0.429929,0.430941]
[0.430941,0.432235]
[0.432235,0.435032]
[0.435032,0.435883]
[0.435883,0.436877]
[0.436877,0.437289]
[0.437289,0.438044]
[0.438044,0.439019]
[0.439019,0.440042]
[0.440042,0.441180]
[0.441180,0.441435]
[0.441435,0.442599]
[0.442599,0.443240]
[0.443240,0.443266]
[0.443266,0.443519]
[0.443519,0.443618]
[0.443618,0.444382]
[0.444382,0.445421]
[0.445421,0.447684]
[0.447684,0.448022]
[0.448022,0.448378]
[0.448378,0.448705]
[0.448705,0.448899]
[0.448899,0.448959]
[0.448959,0.449538]
[0.449538,0.449632]
[0.449632,0.449795]
[0.449795,0.449899]
[0.449899,0.450370]
[0.450370,0.450696]
[0.450696,0.451584]
[0.451584,0.452509]
[0.452509,0.455466]
[0.455466,0.456404]
[0.456404,0.457294]
[0.457294,0.458162]
[0.458162,0.458868]
[0.458868,0.459405]
[0.459405,0.461131]
[0.461131,0.461990]
[0.461990,0.462553]
[0.462553,0.462845]
[0.462845,0.462966]
[0.462966,0.463751]
[0.463751,0.464659]
[0.464659,0.464669]
[0.464669,0.466086]
[0.466086,0.466323]
[0.466323,0.466326]
[0.466326,0.466671]
[0.466671,0.466947]
[0.466947,0.467240]
[0.467240,0.468399]
[0.468399,0.469587]
[0.469587,0.469647]
[0.469647,0.470351]
[0.470351,0.470757]
[0.470757,0.470952]
[0.470952,0.471051]
[0.471051,0.471357]
[0.471357,0.471944]
[0.471944,0.472503]
[0.472503,0.473609]
[0.473609,0.473644]
[0.473644,0.473661]
[0.473661,0.473952]
[0.473952,0.475328]
[0.475328,0.475936]
[0.475936,0.476978]
[0.476978,0.478540]
[0.478540,0.481014]
[0.481014,0.482121]
[0.482121,0.482862]
[0.482862,0.483512]
[0.483512,0.483731]
[0.483731,0.486221]
[0.486221,0.486318]
[0.486318,0.486688]
[0.486688,0.488560]
[0.488560,0.489287]
[0.489287,0.489651]
[0.489651,0.490022]
[0.490022,0.490672]
[0.490672,0.492160]
[0.492160,0.492195]
[0.492195,0.492464]
[0.492464,0.492865]
[0.492865,0.492967]
[0.492967,0.493335]
[0.493335,0.493420]
[0.493420,0.493462]
[0.493462,0.493724]
[0.493724,0.493729]
[0.493729,0.493828]
[0.493828,0.494071]
[0.494071,0.494382]
[0.494382,0.494702]
[0.494702,0.494706]
[0.494706,0.494844]
[0.494844,0.495294]
[0.495294,0.495756]
[0.495756,0.496284]
[0.496284,0.496443]
[0.496443,0.497016]
[0.497016,0.497733]
[0.497733,0.499151]
[0.499151,0.499841]
[0.499841,0.500639]
[0.500639,0.501157]
[0.501157,0.502125]
[0.502125,0.502512]
[0.502512,0.503278]
[0.503278,0.503540]
[0.503540,0.504448]
[0.504448,0.505131]
[0.505131,0.505840]
[0.505840,0.506584]
[0.506584,0.507922]
[0.507922,0.508290]
[0.508290,0.508689]
[0.508689,0.509446]
[0.509446,0.509514]
[0.509514,0.510116]
[0.510116,0.511063]
[0.511063,0.511091]
[0.511091,0.511831]
[0.511831,0.511859]
[0.511859,0.511967]
[0.511967,0.511992]
[0.511992,0.512133]
[0.512133,0.512919]
[0.512919,0.513529]
[0.513529,0.514105]
[0.514105,0.514871]
[0.514871,0.515046]
[0.515046,0.515331]
[0.515331,0.516870]
[0.516870,0.517232]
[0.517232,0.518769]
[0.518769,0.519174]
[0.519174,0.519752]
[0.519752,0.522091]
[0.522091,0.522729]
[0.522729,0.524455]
[0.524455,0.524754]
[0.524754,0.525416]
[0.525416,0.525646]
[0.525646,0.525849]
[0.525849,0.525956]
[0.525956,0.526274]
[0.526274,0.526605]
[0.526605,0.526625]
[0.526625,0.527107]
[0.527107,0.527397]
[0.527397,0.527671]
[0.527671,0.527866]
[0.527866,0.527879]
[0.527879,0.528376]
[0.528376,0.528845]
[0.528845,0.530049]
[0.530049,0.530165]
[0.530165,0.531053]
[0.531053,0.531431]
[0.531431,0.531617]
[0.531617,0.532466]
[0.532466,0.533662]
[0.533662,0.535416]
[0.535416,0.536439]
[0.536439,0.537272]
[0.537272,0.537629]
[0.537629,0.538737]
[0.538737,0.539981]
[0.539981,0.540015]
[0.540015,0.540684]
[0.540684,0.540863]
[0.540863,0.541365]
[0.541365,0.541579]
[0.541579,0.542074]
[0.542074,0.542572]
[0.542572,0.545065]
[0.545065,0.545465]
[0.545465,0.545668]
[0.545668,0.545693]
[0.545693,0.545820]
[0.545820,0.546344]
[0.546344,0.546881]
[0.546881,0.547002]
[0.547002,0.547284]
[0.547284,0.547388]
[0.547388,0.547443]
[0.547443,0.547558]
[0.547558,0.548651]
[0.548651,0.550428]
[0.550428,0.554897]
[0.554897,0.554963]
[0.554963,0.555888]
[0.555888,0.559153]
[0.559153,0.559967]
[0.559967,0.561282]
[0.561282,0.561369]
[0.561369,0.561375]
[0.561375,0.561605]
[0.561605,0.562304]
[0.562304,0.562926]
[0.562926,0.564378]
[0.564378,0.564785]
[0.564785,0.565177]
[0.565177,0.565561]
[0.565561,0.566929]
[0.566929,0.567164]
[0.567164,0.567176]
[0.567176,0.567479]
[0.567479,0.567518]
[0.567518,0.567835]
[0.567835,0.569934]
[0.569934,0.570395]
[0.570395,0.570828]
[0.570828,0.570844]
[0.570844,0.570940]
[0.570940,0.572462]
[0.572462,0.575854]
[0.575854,0.575922]
[0.575922,0.577091]
[0.577091,0.578717]
[0.578717,0.579666]
[0.579666,0.579775]
[0.579775,0.581904]
[0.581904,0.582043]
[0.582043,0.582493]
[0.582493,0.583910]
[0.583910,0.584890]
[0.584890,0.585313]
[0.585313,0.585762]
[0.585762,0.586300]
[0.586300,0.587260]
[0.587260,0.587412]
[0.587412,0.589426]
[0.589426,0.590486]
[0.590486,0.590519]
[0.590519,0.590893]
[0.590893,0.591505]
[0.591505,0.592029]
[0.592029,0.592217]
[0.592217,0.593350]
[0.593350,0.593458]
[0.593458,0.593672]
[0.593672,0.594849]
[0.594849,0.596524]
[0.596524,0.597551]
[0.597551,0.597910]
[0.597910,0.599579]
[0.599579,0.600527]
[0.600527,0.603433]
[0.603433,0.603651]
[0.603651,0.604252]
[0.604252,0.604806]
[0.604806,0.605415]
[0.605415,0.606634]
[0.606634,0.607064]
[0.607064,0.607455]
[0.607455,0.608582]
[0.608582,0.609531]
[0.609531,0.609564]
[0.609564,0.609633]
[0.609633,0.612069]
[0.612069,0.612743]
[0.612743,0.613937]
[0.613937,0.613993]
[0.613993,0.615741]
[0.615741,0.617157]
[0.617157,0.617320]
[0.617320,0.617858]
[0.617858,0.618022]
[0.618022,0.618142]
[0.618142,0.618752]
[0.618752,0.618923]
[0.618923,0.619418]
[0.619418,0.619657]
[0.619657,0.620503]
[0.620503,0.622951]
[0.622951,0.624434]
[0.624434,0.624771]
[0.624771,0.625670]
[0.625670,0.625698]
[0.625698,0.626034]
[0.626034,0.626459]
[0.626459,0.626811]
[0.626811,0.627120]
[0.627120,0.627978]
[0.627978,0.628322]
[0.628322,0.628761]
[0.628761,0.628918]
[0.628918,0.630313]
[0.630313,0.630423]
[0.630423,0.630521]
[0.630521,0.630700]
[0.630700,0.632025]
[0.632025,0.632589]
[0.632589,0.633451]
[0.633451,0.633604]
[0.633604,0.633997]
[0.633997,0.634232]
[0.634232,0.635672]
[0.635672,0.635868]
[0.635868,0.637229]
[0.637229,0.637912]
[0.637912,0.640286]
[0.640286,0.640743]
[0.640743,0.641592]
[0.641592,0.642283]
[0.642283,0.642477]
[0.642477,0.642762]
[0.642762,0.642987]
[0.642987,0.643008]
[0.643008,0.643552]
[0.643552,0.644878]
[0.644878,0.645062]
[0.645062,0.645390]
[0.645390,0.646028]
[0.646028,0.646169]
[0.646169,0.646446]
[0.646446,0.646516]
[0.646516,0.649595]
[0.649595,0.650260]
[0.650260,0.651050]
[0.651050,0.651476]
[0.651476,0.652021]
[0.652021,0.652610]
[0.652610,0.653318]
[0.653318,0.654738]
[0.654738,0.654742]
[0.654742,0.655506]
[0.655506,0.655546]
[0.655546,0.656203]
[0.656203,0.656992]
[0.656992,0.657769]
[0.657769,0.659243]
[0.659243,0.660248]
[0.660248,0.661304]
[0.661304,0.662429]
[0.662429,0.662710]
[0.662710,0.662863]
[0.662863,0.664131]
[0.664131,0.665945]
[0.665945,0.667995]
[0.667995,0.668636]
[0.668636,0.668647]
[0.668647,0.668816]
[0.668816,0.669113]
[0.669113,0.669285]
[0.669285,0.670777]
[0.670777,0.671497]
[0.671497,0.672313]
[0.672313,0.673285]
[0.673285,0.673662]
[0.673662,0.675821]
[0.675821,0.676771]
[0.676771,0.676956]
[0.676956,0.677873]
[0.677873,0.678239]
[0.678239,0.678922]
[0.678922,0.680113]
[0.680113,0.680216]
[0.680216,0.680757]
[0.680757,0.681120]
[0.681120,0.682150]
[0.682150,0.682307]
[0.682307,0.683041]
[0.683041,0.683180]
[0.683180,0.684124]
[0.684124,0.686216]
[0.686216,0.686395]
[0.686395,0.686633]
[0.686633,0.687936]
[0.687936,0.689505]
[0.689505,0.689668]
[0.689668,0.689751]
[0.689751,0.689807]
[0.689807,0.689954]
[0.689954,0.690170]
[0.690170,0.690386]
[0.690386,0.690698]
[0.690698,0.691505]
[0.691505,0.691889]
[0.691889,0.692122]
[0.692122,0.692177]
[0.692177,0.694836]
[0.694836,0.696372]
[0.696372,0.696401]
[0.696401,0.697761]
[0.697761,0.697953]
[0.697953,0.697988]
[0.697988,0.699424]
[0.699424,0.700849]
[0.700849,0.704105]
[0.704105,0.704319]
[0.704319,0.705991]
[0.705991,0.706311]
[0.706311,0.707905]
[0.707905,0.708026]
[0.708026,0.708051]
[0.708051,0.709061]
[0.709061,0.709525]
[0.709525,0.709779]
[0.709779,0.710611]
[0.710611,0.711256]
[0.711256,0.711339]
[0.711339,0.712175]
[0.712175,0.712301]
[0.712301,0.713407]
[0.713407,0.713665]
[0.713665,0.713679]
[0.713679,0.713894]
[0.713894,0.714813]
[0.714813,0.714909]
[0.714909,0.716383]
[0.716383,0.716435]
[0.716435,0.717875]
[0.717875,0.718666]
[0.718666,0.719438]
[0.719438,0.719633]
[0.719633,0.719803]
[0.719803,0.720399]
[0.720399,0.720651]
[0.720651,0.721263]
[0.721263,0.721392]
[0.721392,0.721585]
[0.721585,0.723108]
[0.723108,0.724082]
[0.724082,0.724745]
[0.724745,0.726034]
[0.726034,0.726760]
[0.726760,0.726977]
[0.726977,0.727670]
[0.727670,0.728802]
[0.728802,0.729309]
[0.729309,0.732803]
[0.732803,0.733574]
[0.733574,0.735056]
[0.735056,0.735099]
[0.735099,0.736571]
[0.736571,0.737800]
[0.737800,0.738923]
[0.738923,0.740690]
[0.740690,0.741349]
[0.741349,0.741555]
[0.741555,0.741631]
[0.741631,0.743186]
[0.743186,0.743559]
[0.743559,0.745001]
[0.745001,0.745284]
[0.745284,0.745322]
[0.745322,0.748167]
[0.748167,0.748233]
[0.748233,0.748512]
[0.748512,0.748845]
[0.748845,0.749115]
